Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year
Enterprise,Canada, Amarilla , Low ,"$1,744.58",$5.59,$41.28,"$54,201.81","$3,601.52","$58,753.20","$13,796.45","$11,900.64",02/01/2015,3,November,2013
Enterprise,Mexico, Carretera , High ,"$2,770.59",$3.91,$28.64,"$57,457.83","$3,524.79","$59,323.83","$12,251.20","$11,623.70",11/01/2014,3,December,2013
Government,United States of America, Montana , None ,"$2,978.79",$2.37,$69.68,"$58,704.30","$3,593.53","$11,815.43","$16,615.85","$28,166.49",01/01/2013,3,May,2013
Government,France, Montana , None ,"$1,156.54",$6.48,$96.16,"$54,794.01",$-,"$24,802.06","$16,196.40","$13,111.31",09/01/2014,12,August,2015
Government,France, VTT , Medium ,"$1,731.61",$1.43,$70.51,"$19,669.80","$1,378.05","$22,942.09","$12,089.38","$14,601.36",07/01/2015,9,November,2013
Enterprise,Germany, Velo , High ,$525.54,$6.74,$86.51,"$17,040.28","$2,887.59","$36,646.34","$15,580.98","$21,170.33",04/01/2013,6,October,2014
Channel Partners,Germany, Amarilla , High ,"$1,693.09",$5.93,$11.25,"$59,760.55",$-,"$24,025.14","$22,985.92","$9,115.77",05/01/2015,6,July,2015
Midmarket,France, Carretera , None ,"$1,728.64",$5.84,$62.47,"$28,708.03",$-,"$24,292.41","$16,682.65","$5,227.52",08/01/2015,4,September,2013
Government,Mexico, VTT , None ,"$1,443.84",$1.14,$84.73,"$37,364.67",$-,"$28,619.32","$28,392.66","$2,277.70",09/01/2015,4,December,2014
Small Business,France, Amarilla , Medium ,"$2,270.64",$9.72,$37.24,"$11,881.17",$-,"$57,029.93","$19,491.03","$25,252.17",03/01/2014,11,October,2013
Enterprise,France, Amarilla , High ,"$2,333.67",$1.71,$12.19,"$58,173.75","$4,931.61","$58,188.76","$12,533.35","$5,012.41",04/01/2014,6,November,2015
Midmarket,United States of America, Carretera , Medium ,$655.43,$7.86,$75.48,"$42,648.51","$2,390.69","$46,173.10","$17,897.89","$18,820.54",07/01/2015,10,August,2014
Enterprise,Germany, VTT , None ,$670.96,$6.56,$48.68,"$40,355.44","$4,159.89","$27,048.68","$29,508.07","$9,860.11",05/01/2013,11,April,2015
Channel Partners,Germany, Carretera , Medium ,"$2,666.16",$1.29,$95.50,"$11,305.83","$3,272.46","$47,324.95","$9,364.81","$9,315.03",08/01/2013,10,October,2013
Channel Partners,France, Amarilla , Medium ,"$2,413.63",$8.87,$33.82,"$38,636.79",$-,"$16,274.55","$23,182.43","$18,591.37",08/01/2013,4,June,2015
Midmarket,France, Amarilla , None ,"$2,355.96",$7.21,$85.05,"$41,068.57",$-,"$58,022.99","$13,925.08","$28,595.57",04/01/2013,10,June,2013
Midmarket,Canada, Paseo , None ,"$1,902.32",$3.17,$95.38,"$40,824.58",$-,"$40,421.88","$12,578.48","$8,785.51",02/01/2014,4,July,2013
Midmarket,Canada, Carretera , Low ,$740.32,$7.37,$73.35,"$18,616.83",$-,"$17,619.51","$26,953.52","$24,035.95",03/01/2013,9,June,2013
Midmarket,France, Paseo , Medium ,$798.58,$4.49,$65.26,"$47,482.70","$4,555.89","$41,703.97","$16,499.25","$1,006.18",07/01/2015,5,July,2014
Government,Mexico, Paseo , High ,"$1,714.66",$8.56,$24.09,"$19,709.93",$-,"$41,544.15","$23,660.99","$3,430.03",12/01/2015,1,May,2014
Enterprise,Mexico, VTT , Low ,$855.68,$9.50,$18.72,"$17,844.13",$-,"$46,220.82","$19,147.58","$11,532.25",02/01/2015,10,February,2014
Enterprise,Canada, Montana , None ,"$1,189.52",$3.72,$77.45,"$54,420.37",$-,"$33,315.62","$25,292.12","$20,416.41",07/01/2013,11,June,2015
Enterprise,Mexico, Montana , High ,"$1,735.03",$8.66,$68.30,"$45,135.05",$-,"$15,074.13","$22,396.96","$10,233.74",12/01/2013,3,October,2015
Small Business,United States of America, Paseo , Low ,"$1,309.97",$1.09,$12.77,"$20,386.83",$-,"$47,087.28","$19,271.00","$5,707.81",08/01/2013,4,March,2015
Midmarket,France, Paseo , Medium ,"$1,303.99",$8.48,$11.75,"$42,048.04","$4,530.84","$15,178.17","$13,560.93","$17,156.65",09/01/2013,6,April,2014
Enterprise,Canada, Velo , None ,"$1,392.90",$6.16,$78.38,"$21,171.23",$-,"$42,849.38","$13,596.14","$5,127.37",02/01/2015,7,November,2013
Government,Mexico, Amarilla , Low ,$683.81,$9.62,$40.60,"$48,379.30","$3,954.22","$45,656.00","$18,684.97","$11,605.86",05/01/2013,1,July,2015
Channel Partners,Mexico, Paseo , Low ,$563.75,$2.75,$82.81,"$33,265.02","$3,165.16","$30,638.41","$24,381.70","$11,160.71",10/01/2015,9,May,2015
Enterprise,Mexico, Carretera , None ,$547.49,$2.42,$46.90,"$52,886.53","$3,995.18","$15,886.00","$13,615.15","$10,865.56",02/01/2015,9,July,2014
Government,Germany, Carretera , Medium ,"$1,433.62",$6.07,$25.86,"$33,726.01","$2,694.94","$40,120.90","$5,965.78","$12,328.44",02/01/2014,11,January,2013
Small Business,Germany, Carretera , None ,"$1,850.56",$6.10,$94.53,"$27,843.92","$2,587.19","$55,444.55","$19,469.32","$10,386.27",06/01/2013,9,February,2014
Enterprise,Germany, Paseo , None ,"$1,518.88",$7.24,$37.23,"$14,904.31",$409.10,"$22,997.85","$21,791.13","$10,812.90",07/01/2015,3,September,2013
Enterprise,United States of America, Carretera , High ,"$2,223.68",$7.43,$72.28,"$17,304.16",$-,"$48,577.60","$16,148.48","$22,282.08",02/01/2015,12,March,2014
Enterprise,Canada, Amarilla , None ,"$1,169.89",$9.25,$48.01,"$30,529.92",$-,"$36,724.41","$28,966.17","$16,293.22",02/01/2013,3,March,2014
Midmarket,United States of America, Amarilla , None ,"$1,652.96",$9.32,$66.64,"$31,816.51","$2,787.23","$46,027.36","$25,099.49","$29,816.97",02/01/2013,7,April,2015
Small Business,Canada, Carretera , None ,$784.46,$3.18,$44.12,"$18,137.02","$1,533.72","$55,180.98","$6,364.07","$17,701.80",01/01/2013,4,April,2013
Small Business,Canada, Paseo , None ,$796.94,$9.24,$53.29,"$23,802.75",$-,"$27,847.16","$28,708.88","$24,590.38",08/01/2014,3,September,2014
Small Business,Mexico, Velo , None ,$681.89,$5.10,$33.57,"$17,226.45","$1,850.41","$16,912.31","$21,417.03","$9,461.79",01/01/2013,8,September,2014
Midmarket,Germany, Montana , Low ,"$1,187.09",$1.99,$94.71,"$44,963.57",$-,"$32,490.63","$13,486.81","$20,407.40",01/01/2014,11,August,2014
Channel Partners,Mexico, Velo , None ,"$2,285.78",$5.79,$66.05,"$27,145.60",$-,"$30,303.65","$24,108.96","$23,550.73",02/01/2015,4,December,2013
Enterprise,Germany, Montana , None ,"$1,073.72",$5.34,$87.46,"$55,752.74","$1,512.94","$17,352.28","$23,751.01","$16,586.48",08/01/2014,4,April,2014
Channel Partners,Canada, Montana , Low ,"$1,099.95",$2.66,$50.39,"$54,613.77",$-,"$53,176.72","$22,624.09","$13,453.87",04/01/2015,9,December,2013
Small Business,Canada, Montana , None ,"$2,222.25",$8.68,$33.72,"$25,395.43",$-,"$21,629.85","$7,140.53","$20,452.30",08/01/2014,3,October,2014
Enterprise,France, Montana , Medium ,"$2,252.30",$2.37,$82.39,"$17,589.29",$-,"$37,727.69","$14,283.69","$15,003.72",09/01/2014,6,April,2015
Midmarket,United States of America, Paseo , Low ,"$1,821.64",$1.53,$10.62,"$49,332.36","$1,308.53","$27,461.75","$18,814.18","$14,859.90",12/01/2015,7,January,2014
Midmarket,Canada, Paseo , Medium ,"$2,397.79",$8.71,$85.70,"$33,055.32",$-,"$56,358.24","$17,166.85","$9,858.07",02/01/2015,2,May,2013
Enterprise,Germany, Montana , Low ,"$1,206.26",$4.18,$78.29,"$14,411.34","$4,948.50","$13,554.81","$20,645.67","$3,473.91",03/01/2014,7,July,2013
Government,United States of America, Carretera , Medium ,"$1,613.26",$2.25,$13.53,"$13,922.17","$1,274.71","$43,529.39","$29,543.24","$5,536.37",04/01/2014,11,September,2015
Government,Germany, Velo , Medium ,"$2,984.80",$7.48,$80.23,"$21,979.52","$3,377.43","$40,848.56","$10,852.80","$15,728.89",08/01/2014,2,September,2013
Government,France, VTT , High ,"$1,979.56",$9.33,$47.70,"$40,939.89",$-,"$18,118.94","$24,353.35","$9,894.29",04/01/2013,4,December,2013
Channel Partners,United States of America, VTT , Low ,"$1,225.82",$6.21,$28.34,"$31,104.37",$-,"$40,932.11","$6,154.63","$21,906.68",07/01/2014,3,December,2013
Channel Partners,Canada, Montana , None ,$958.78,$2.09,$69.89,"$26,832.27",$351.38,"$15,597.17","$13,406.25","$10,535.76",11/01/2013,11,August,2015
Enterprise,France, Carretera , Low ,$539.63,$9.10,$63.92,"$24,674.33",$-,"$32,791.52","$28,013.69","$20,544.22",06/01/2014,11,May,2015
Midmarket,Germany, Carretera , High ,"$2,505.65",$4.69,$15.02,"$17,336.32",$-,"$19,178.21","$13,115.03","$1,538.49",07/01/2015,6,February,2014
Midmarket,Canada, Paseo , High ,"$1,733.97",$8.15,$68.70,"$56,077.19",$-,"$35,206.58","$11,488.55","$14,605.36",12/01/2015,1,October,2015
Enterprise,France, VTT , Low ,"$2,598.95",$9.87,$97.98,"$57,137.20","$1,157.85","$33,942.96","$7,038.12","$10,185.28",08/01/2013,11,July,2015
Small Business,France, Amarilla , Medium ,$975.71,$9.86,$36.60,"$14,192.77",$-,"$23,430.38","$10,130.02","$26,875.21",05/01/2014,1,July,2013
Channel Partners,Canada, Velo , Low ,"$2,732.18",$6.28,$43.76,"$17,982.37",$-,"$34,282.31","$21,974.29","$7,702.80",04/01/2014,3,January,2015
Small Business,France, Velo , Low ,"$1,244.39",$7.02,$46.63,"$11,456.71","$3,417.86","$16,825.64","$22,962.39","$21,473.51",12/01/2015,9,December,2015
Small Business,Canada, Paseo , Medium ,"$2,701.04",$7.42,$45.83,"$44,948.55",$-,"$44,055.64","$29,715.02","$18,241.69",02/01/2013,3,August,2014
Small Business,Mexico, Velo , None ,$666.39,$1.27,$36.35,"$35,753.83",$34.94,"$37,041.13","$26,197.48","$19,487.23",10/01/2015,11,October,2014
Government,Mexico, Carretera , High ,$971.97,$2.13,$98.38,"$22,886.28",$-,"$20,359.83","$5,514.21","$27,512.83",03/01/2014,4,January,2015
Midmarket,Germany, Carretera , Low ,"$1,108.41",$9.06,$16.82,"$24,204.04",$-,"$38,875.80","$25,263.31","$26,626.79",11/01/2014,5,April,2015
Channel Partners,Germany, Montana , Medium ,"$1,587.97",$3.91,$91.27,"$32,549.12",$-,"$39,808.15","$14,806.74","$10,617.29",01/01/2015,11,May,2013
Midmarket,United States of America, Paseo , Medium ,"$1,875.42",$4.58,$88.73,"$58,480.77",$654.02,"$52,543.44","$29,804.89","$17,045.52",07/01/2013,12,August,2013
Channel Partners,Germany, Montana , High ,$598.53,$2.00,$93.31,"$43,776.40","$4,665.67","$26,166.89","$25,817.20","$14,940.26",04/01/2015,8,May,2013
Midmarket,Germany, Paseo , Low ,"$1,891.92",$6.19,$48.38,"$57,453.16","$1,623.31","$37,924.30","$18,753.83","$6,566.95",03/01/2014,9,March,2013
Enterprise,Canada, VTT , Low ,"$2,755.96",$6.42,$56.91,"$18,048.89","$1,464.32","$10,886.94","$24,209.34","$2,106.02",05/01/2015,2,February,2015
Channel Partners,Germany, VTT , Medium ,"$1,970.96",$9.58,$27.36,"$22,401.80",$-,"$25,284.19","$13,951.81","$13,216.81",04/01/2014,10,December,2015
Channel Partners,Mexico, VTT , High ,"$2,374.12",$5.74,$87.64,"$54,913.52",$-,"$34,492.51","$19,861.64","$3,304.31",06/01/2014,4,April,2015
Channel Partners,Canada, Montana , None ,"$1,334.52",$2.84,$65.14,"$26,233.45",$-,"$54,706.56","$19,330.45","$28,709.68",09/01/2015,7,November,2015
Channel Partners,United States of America, Carretera , High ,$692.76,$1.49,$66.06,"$57,107.75",$719.32,"$12,127.82","$7,436.38","$16,638.56",06/01/2013,4,July,2014
Government,United States of America, VTT , None ,"$1,274.83",$4.13,$83.84,"$42,515.00","$3,297.71","$57,510.20","$25,038.36","$11,376.33",07/01/2014,10,September,2015
Government,France, Velo , High ,"$1,955.11",$3.48,$16.96,"$40,483.49",$-,"$42,376.11","$27,530.02","$12,805.28",06/01/2015,5,September,2014
Midmarket,France, VTT , Low ,"$2,378.23",$4.76,$72.84,"$13,192.31",$871.15,"$57,036.86","$15,819.42","$21,924.78",08/01/2013,6,June,2013
Enterprise,Germany, Montana , Low ,"$1,561.68",$8.59,$67.31,"$27,198.64","$1,506.32","$42,225.50","$22,839.65","$15,110.56",06/01/2015,1,October,2015
Small Business,Germany, Paseo , None ,"$2,954.81",$2.73,$67.04,"$35,193.37",$-,"$16,019.47","$18,023.15","$27,610.51",10/01/2015,2,November,2014
Enterprise,United States of America, VTT , Low ,"$1,939.83",$7.65,$58.24,"$39,562.47",$-,"$31,916.46","$23,265.76","$4,596.19",11/01/2013,9,April,2013
Government,France, Montana , High ,"$2,966.81",$9.29,$97.10,"$27,558.16","$1,450.72","$41,420.10","$25,187.28","$13,027.08",05/01/2014,4,November,2014
Small Business,Canada, Amarilla , None ,"$2,241.33",$1.52,$38.08,"$18,988.15","$4,966.68","$31,650.29","$27,428.94","$15,520.19",11/01/2015,4,July,2013
Midmarket,Canada, Velo , Low ,$672.07,$8.27,$73.34,"$59,443.21","$3,307.63","$44,038.46","$27,111.04","$4,684.10",10/01/2015,4,January,2014
Channel Partners,France, Carretera , Low ,$935.89,$1.21,$96.33,"$15,945.35","$2,928.86","$55,466.43","$11,668.10","$9,453.88",06/01/2014,4,May,2013
Midmarket,Germany, Amarilla , High ,"$2,787.60",$3.82,$45.93,"$14,941.37","$1,926.41","$50,178.43","$27,345.62","$8,028.28",06/01/2014,5,July,2015
Midmarket,Mexico, Amarilla , High ,"$2,140.32",$3.62,$31.92,"$26,349.03",$-,"$21,955.98","$29,721.76","$23,477.31",02/01/2015,3,October,2014
Government,France, Montana , None ,"$2,453.64",$4.49,$89.78,"$37,268.36",$414.44,"$47,221.47","$28,183.81","$7,456.75",03/01/2013,4,October,2015
Enterprise,Germany, Carretera , Low ,"$1,088.21",$2.10,$44.31,"$21,143.92","$1,390.30","$40,407.82","$19,455.99","$29,773.86",05/01/2014,8,April,2014
Government,United States of America, Carretera , None ,"$1,014.49",$4.79,$32.38,"$35,491.72","$2,643.67","$20,933.36","$26,498.96","$4,482.44",06/01/2015,10,March,2015
Channel Partners,Mexico, Amarilla , High ,"$1,192.69",$1.69,$53.19,"$29,858.44",$-,"$10,011.28","$15,990.36","$22,409.89",01/01/2013,7,October,2015
Channel Partners,Canada, Amarilla , Low ,"$1,207.19",$9.25,$16.60,"$57,715.23",$-,"$32,824.13","$5,382.57","$19,728.07",07/01/2013,7,August,2014
Small Business,United States of America, Paseo , Low ,"$2,051.63",$2.08,$14.10,"$57,182.08","$3,739.63","$28,607.77","$6,642.34","$18,203.18",03/01/2014,9,April,2015
Midmarket,Mexico, Carretera , High ,"$2,872.88",$8.32,$80.50,"$57,162.96",$-,"$17,085.99","$28,460.23","$11,676.52",03/01/2013,1,January,2014
Midmarket,Mexico, Amarilla , Medium ,$997.78,$2.52,$69.53,"$14,162.28",$-,"$23,011.13","$11,165.41","$19,364.22",03/01/2013,8,February,2014
Channel Partners,Germany, Carretera , Low ,$675.41,$7.93,$79.50,"$44,158.94",$-,"$47,477.27","$20,979.78","$26,566.71",12/01/2013,3,August,2015
Enterprise,France, Amarilla , High ,"$1,483.16",$8.21,$86.53,"$10,426.35",$752.29,"$44,836.32","$5,227.67","$13,174.25",03/01/2015,12,January,2013
Small Business,Mexico, Montana , Medium ,"$2,661.41",$6.89,$27.50,"$53,723.83","$2,218.36","$41,111.34","$18,396.68","$25,379.17",11/01/2013,12,March,2014
Small Business,Germany, Montana , High ,"$1,146.07",$8.51,$86.80,"$15,917.26",$-,"$14,721.87","$18,922.01","$28,969.86",06/01/2013,2,December,2014
Channel Partners,Canada, Montana , High ,$846.83,$8.60,$84.96,"$28,540.25","$3,553.90","$28,682.81","$20,623.69","$15,300.81",01/01/2014,10,March,2014
Enterprise,Mexico, Velo , None ,$752.38,$8.17,$69.45,"$28,877.48","$3,230.97","$17,934.30","$28,132.78","$24,733.89",02/01/2013,1,August,2014
Small Business,Mexico, Paseo , High ,$580.23,$2.64,$46.76,"$12,045.50","$4,701.61","$53,487.75","$11,506.18","$12,884.56",01/01/2014,8,June,2013
